timestamp,service_name,operation,latency_ms,p50_ms,p95_ms,p99_ms,environment
2025-11-29T13:30:57.366691,deploy_agent_worker_1,deploy,504.64,504.64,504.64,504.64,stage
2025-11-29T13:42:51.531490,deploy_agent_worker_1,deploy,508.77,508.77,508.77,508.77,stage
2025-12-02T10:14:28.538612,deploy_agent_worker_1,deploy,502.46,502.46,502.46,502.46,stage
2025-12-02T10:14:29.168360,deploy_agent_worker_1,deploy,510.55,510.55,510.55,510.55,stage
2025-12-02T10:15:26.352303,deploy_agent_worker_1,deploy,506.95,506.95,506.95,506.95,stage
2025-12-02T10:15:27.276038,deploy_agent_worker_1,deploy,514.39,514.39,514.39,514.39,stage
2025-12-02T10:16:51.629725,deploy_agent_worker_1,deploy,511.88,511.88,511.88,511.88,stage
2025-12-02T10:16:52.245335,deploy_agent_worker_1,deploy,507.35,507.35,507.35,507.35,stage
2026-01-23T15:48:30.558900,deploy_stage,deploy,120,120,120,120,stage
2026-01-23T15:48:31.632851,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-23T15:50:55.794985,deploy_stage,deploy,120,120,120,120,stage
2026-01-23T15:50:56.871179,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-23T15:51:29.281337,deploy_stage,deploy,120,120,120,120,stage
2026-01-23T15:51:30.357192,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T14:01:12.312920,deploy_stage,deploy,150,150,150,150,stage
2026-01-24T14:02:22.543825,deploy_stage,deploy,150,150,150,150,stage
2026-01-24T14:46:13.501426,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T14:56:33.537619,deploy_stage,deploy,150,150,150,150,stage
2026-01-24T14:57:45.223396,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:19:54.703804,deploy_stage,deploy,150,150,150,150,stage
2026-01-24T15:20:24.452908,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:25:51.755137,deploy_stage,deploy,150,150,150,150,stage
2026-01-24T15:52:28.551886,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:52:29.622035,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T15:58:48.530832,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:58:49.604809,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T15:59:28.210521,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:59:29.277965,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T15:59:57.486660,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T15:59:58.553822,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T16:02:20.421279,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T16:02:21.491146,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T16:07:04.753902,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T16:07:05.826735,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T16:07:53.356289,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T16:07:54.425694,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-24T16:12:13.907604,deploy_stage,deploy,120,120,120,120,stage
2026-01-24T16:12:14.985927,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-28T21:10:35.343140,deploy_stage,deploy,120,120,120,120,stage
2026-01-28T21:13:24.333907,deploy_stage,deploy,120,120,120,120,stage
2026-01-28T21:19:10.186796,deploy_stage,deploy,120,120,120,120,stage
2026-01-28T21:20:09.740705,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T09:45:11.601113,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T09:58:55.699983,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:27:53.972805,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:28:59.374598,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:31:47.751678,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:35:35.078442,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:35:36.087589,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-31T15:36:20.695534,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T15:36:21.705660,scale_stage,scale_horizontal,0,0,0,0,stage
2026-01-31T16:10:11.756196,deploy_stage,deploy,120,120,120,120,stage
2026-01-31T16:10:12.774087,scale_stage,scale_horizontal,0,0,0,0,stage
2026-02-01T14:56:28.590029,deploy_stage,deploy,120,120,120,120,stage
2026-02-01T14:56:29.611165,scale_stage,scale_horizontal,0,0,0,0,stage
2026-02-01T16:33:58.680835,deploy_stage,deploy,120,120,120,120,stage
2026-02-01T16:33:59.707705,scale_stage,scale_horizontal,0,0,0,0,stage
