timestamp,queue_name,depth,enqueue_rate,dequeue_rate,avg_wait_time_ms,environment
2025-11-27T11:05:06.552062,deploy_queue_stage,4,1.07,1.14,506.55,stage
2025-11-27T11:05:06.564821,deploy_queue_stage,9,0.97,1.65,1012.49,stage
2025-11-27T11:05:06.574650,deploy_queue_stage,0,1.88,2.36,86.54,stage
2025-11-27T11:05:06.581737,deploy_queue_stage,5,1.96,1.14,599.49,stage
2025-11-27T11:05:06.591052,deploy_queue_stage,1,2.53,1.29,276.11,stage
2025-11-27T11:05:06.600361,deploy_queue_stage,5,1.6,2.03,659.82,stage
2025-11-27T11:05:06.607930,deploy_queue_stage,3,0.99,0.89,427.4,stage
2025-11-27T11:05:06.618617,deploy_queue_stage,9,1.82,1.39,995.42,stage
2025-11-27T11:05:06.629646,deploy_queue_stage,5,1.93,0.95,569.97,stage
2025-11-27T11:05:06.643188,deploy_queue_stage,3,1.84,2.33,377.71,stage
2025-11-27T11:05:06.660191,deploy_queue_stage,1,2.13,1.85,156.81,stage
2025-11-27T11:05:06.694048,deploy_queue_stage,3,2.37,1.71,410.74,stage
2025-11-27T11:05:06.735069,deploy_queue_stage,3,2.03,1.03,470.8,stage
2025-11-27T11:05:06.747490,deploy_queue_stage,7,2.08,2.21,830.87,stage
2025-11-27T11:05:06.757272,deploy_queue_stage,6,2.8,1.27,750.46,stage
2025-11-27T11:05:06.782242,deploy_queue_stage,2,1.83,2.05,307.03,stage
2025-11-27T11:05:06.792242,deploy_queue_stage,0,2.0,2.32,191.25,stage
2025-11-27T11:05:06.800516,deploy_queue_stage,5,2.45,2.36,651.99,stage
2025-11-27T11:05:06.808256,deploy_queue_stage,0,1.14,2.17,174.75,stage
2025-11-27T11:05:06.817095,deploy_queue_stage,3,1.6,2.4,435.42,stage
2025-11-27T11:05:06.825726,deploy_queue_stage,5,2.44,1.44,567.32,stage
2025-11-27T11:05:06.832524,deploy_queue_stage,6,1.8,1.55,784.9,stage
2025-11-27T11:05:06.839044,deploy_queue_stage,5,2.5,0.97,607.67,stage
2025-11-27T11:05:06.847999,deploy_queue_stage,3,0.53,1.43,382.73,stage
2025-11-27T11:05:06.854744,deploy_queue_stage,2,1.12,2.19,370.41,stage
2025-11-27T11:05:06.861837,deploy_queue_stage,5,1.13,2.09,671.41,stage
2025-11-27T11:05:06.868184,deploy_queue_stage,5,0.91,1.99,612.43,stage
2025-11-27T11:05:06.874183,deploy_queue_stage,7,0.58,2.28,754.33,stage
2025-11-27T11:05:06.882036,deploy_queue_stage,4,1.86,0.98,484.19,stage
2025-11-27T11:05:06.890140,deploy_queue_stage,3,0.83,0.89,362.07,stage
2025-11-27T11:05:06.895589,deploy_queue_stage,6,0.55,0.82,789.55,stage
2025-11-27T11:05:06.904881,deploy_queue_stage,8,2.59,0.94,880.41,stage
2025-11-27T11:05:06.912352,deploy_queue_stage,5,1.25,2.09,614.38,stage
2025-11-27T11:05:06.920841,deploy_queue_stage,1,2.56,0.83,286.12,stage
2025-11-27T11:05:06.926905,deploy_queue_stage,1,1.78,1.66,231.08,stage
2025-11-27T11:05:06.935981,deploy_queue_stage,1,1.07,1.66,240.77,stage
2025-11-27T11:05:06.942890,deploy_queue_stage,4,0.65,0.88,454.24,stage
2025-11-27T11:05:06.949432,deploy_queue_stage,4,2.33,0.96,518.46,stage
2025-11-27T11:05:06.967659,deploy_queue_stage,1,1.71,1.82,285.52,stage
2025-11-27T11:05:06.974312,deploy_queue_stage,5,0.63,2.38,599.18,stage
2025-11-27T11:05:06.981705,deploy_queue_stage,7,1.55,1.53,810.77,stage
2025-11-27T11:05:06.988266,deploy_queue_stage,3,1.15,1.85,470.94,stage
2025-11-27T11:05:06.994046,deploy_queue_stage,7,1.57,1.41,895.53,stage
2025-11-27T11:05:07.001993,deploy_queue_stage,1,2.11,2.25,290.12,stage
2025-11-27T11:05:07.010040,deploy_queue_stage,6,2.15,1.34,735.45,stage
2025-11-27T11:05:07.016257,deploy_queue_stage,1,2.22,2.35,243.4,stage
2025-11-27T11:05:07.022432,deploy_queue_stage,7,1.02,0.87,839.93,stage
2025-11-27T11:05:07.027472,deploy_queue_stage,2,2.23,1.06,367.29,stage
2025-11-27T11:05:07.035477,deploy_queue_stage,5,1.56,0.87,599.67,stage
2025-11-27T11:05:07.075222,deploy_queue_stage,5,0.92,1.7,587.32,stage
2025-11-27T11:05:07.080591,deploy_queue_stage,2,2.09,2.34,301.43,stage
2025-11-27T11:05:07.084865,deploy_queue_stage,1,1.95,1.65,286.76,stage
2025-11-27T11:05:07.088595,deploy_queue_stage,3,2.8,1.01,437.72,stage
2025-11-27T11:05:07.093374,deploy_queue_stage,0,2.69,0.91,122.2,stage
2025-11-27T11:05:07.100411,deploy_queue_stage,4,2.02,1.56,469.36,stage
2025-11-27T11:05:07.106761,deploy_queue_stage,3,2.92,0.95,453.35,stage
2025-11-27T11:05:07.115162,deploy_queue_stage,4,2.38,2.26,565.14,stage
2025-11-27T11:05:07.121376,deploy_queue_stage,7,1.58,1.98,750.01,stage
2025-11-27T11:05:07.129541,deploy_queue_stage,0,1.67,2.05,109.57,stage
2025-11-27T11:05:07.135910,deploy_queue_stage,8,2.19,1.94,901.09,stage
2025-11-27T11:07:07.026808,test_queue,5,2.0,1.8,250,stage
